#alias	STUDY	SAMPLE	RUN/s	filename	md5	unencr_md5	reads_mapped
S00D7151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523624	ERR670103,ERR670107,ERR670151,ERR669927,ERR669955,ERR669959,ERR669963,ERR670027,ERR670067,ERR670071,ERR670075,ERR670079,ERR670083,ERR670087,ERR670091	release_20150820_bcf/S00D7151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	f7bcc1937ff979769072e7c9f9081a44	 431c60c287adbebc6293d78fadebd576	1180342438
S006YC51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523619	ERR670098,ERR669974,ERR669942,ERR670146,ERR669922,ERR669946,ERR669950,ERR669966,ERR669970,ERR669978,ERR669982,ERR670022,ERR669986,ERR669990,ERR670094	release_20150820_bcf/S006YC51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	530f765913643fec1494fd78d10390a5	 3e17b49e71e702c22ffac21b75817f73	1173840797
S001U352.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523612	ERR670101,ERR670105,ERR670149,ERR669925,ERR669953,ERR669957,ERR669961,ERR670025,ERR670065,ERR670069,ERR670073,ERR670077,ERR670081,ERR670085,ERR670089	release_20150820_bcf/S001U352.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	0e0f5c2fd34cb7f687b697c86b498334	 693509e30bf3eda5a1f8de01ff5a6351	1350637209
bmPCs-V156.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS666931	ERR772230,ERR772231,ERR772244,ERR772223,ERR772232,ERR772236	release_20150820_bcf/bmPCs-V156.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	03ee751acbcdf8cc547d5b7f8e90f702	 41f83fda652ac94f7a419eb43007bc30	1932684811
C000S5A2bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS208313	ERR776887,ERR776888,ERR776889,ERR776886,ERR776890,ERR776891,ERR776892,ERR776893,ERR776894,ERR776895,ERR776896,ERR776897,ERR776898,ERR776899,ERR776900,ERR776901,ERR776902,ERR776903,ERR776904	release_20150820_bcf/C000S5A2bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	df20315c60a815f2668940aaea6d2121	 cf60eb6546cd574198e5637328d7effd	1877170965
S00D1DA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS699850	ERR850418,ERR850428,ERR850431,ERR850448,ERR850470,ERR850473,ERR850490,ERR850493,ERR850510	release_20150820_bcf/S00D1DA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	25145fd7f1f9d197e2f7f722bf6d65eb	 837c38d5c5f3c6ba4582e873247acc7a	1008931706
S004P151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523616	ERR670102,ERR670106,ERR670150,ERR669926,ERR669954,ERR669958,ERR669962,ERR670026,ERR670066,ERR670070,ERR670074,ERR670086,ERR670078,ERR670082,ERR670090	release_20150820_bcf/S004P151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	f3ad79fc272339dac3128e9c3c7833c2	 d4546d050438d47785e453a8a2054d01	1241418812
S001S751.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337086	ERR381245,ERR381249,ERR381263,ERR381278,ERR381282,ERR381311,ERR381315,ERR381319,ERR381323,ERR381218,ERR381222,ERR381226,ERR381230,ERR381353	release_20150820_bcf/S001S751.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	5badfbd4584aef8c54bcafdd478e595a	 e351272d27602f8a7d4c60c9c19b9a7b	896808920
S008QKA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS497451	ERR558246,ERR558232,ERR558242,ERR558244,ERR558248,ERR558250	release_20150820_bcf/S008QKA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	1bb93f712b9017c1930c7c9d332e9133	 f222cefd723328eb2c1e3dd11bf24eed	638556063
S00BJM52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433789	ERR571694	release_20150820_bcf/S00BJM52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	c54a56f63816f9f6e68be1cd5179a5db	 0c48ae1dc974046074909b21b7d37500	1058870030
S0039051.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337105	ERR381260,ERR381271,ERR381275,ERR381293,ERR381297,ERR381301,ERR381305,ERR381331,ERR381335,ERR381339,ERR381238,ERR381242,ERR381350,ERR381343	release_20150820_bcf/S0039051.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	72194e3d9fb2be917489066988df3918	 d2e19e3890ecc12e3d7a9995dbb4f788	882838604
